Entity,Code,Year,"Southern White Rhino population (AfRSG & other sources, 2019)"
World,OWID_WRL,1895,20
World,OWID_WRL,1929,150
World,OWID_WRL,1948,550
World,OWID_WRL,1968,1800
World,OWID_WRL,1984,3800
World,OWID_WRL,1987,4665
World,OWID_WRL,1991,5565
World,OWID_WRL,1992,5790
World,OWID_WRL,1993,6760
World,OWID_WRL,1995,7530
World,OWID_WRL,1997,8440
World,OWID_WRL,2005,14543
World,OWID_WRL,2007,17470
World,OWID_WRL,2010,20161
World,OWID_WRL,2012,21316
World,OWID_WRL,2015,20375
World,OWID_WRL,2017,18064
World,OWID_WRL,2021,15940
